10248;85;5;2020-07-04;2020-08-01;2020-07-16;3;32.3800;Ship to 85-B;6789 rue de l'Abbaye;Reims;;10345;France
10249;79;6;2020-07-05;2020-08-16;2020-07-10;1;11.6100;Ship to 79-C;Luisenstr. 9012;MÅnster;;10328;Germany
10250;34;4;2020-07-08;2020-08-05;2020-07-12;2;65.8300;Destination SCQXA;Rua do Paáo, 7890;Rio de Janeiro;RJ;10195;Brazil
10251;84;3;2020-07-08;2020-08-05;2020-07-15;1;41.3400;Ship to 84-A;3456, rue du Commerce;Lyon;;10342;France
10252;76;4;2020-07-09;2020-08-06;2020-07-11;2;51.3000;Ship to 76-B;Boulevard Tirou, 9012;Charleroi;;10318;Belgium
10253;34;3;2020-07-10;2020-07-24;2020-07-16;2;58.1700;Destination JPAIY;Rua do Paáo, 8901;Rio de Janeiro;RJ;10196;Brazil
10254;14;5;2020-07-11;2020-08-08;2020-07-23;2;22.9800;Destination YUJRD;Hauptstr. 1234;Bern;;10139;Switzerland
10255;68;9;2020-07-12;2020-08-09;2020-07-15;3;148.3300;Ship to 68-A;Starenweg 6789;Genäve;;10294;Switzerland
10256;88;3;2020-07-15;2020-08-12;2020-07-17;2;13.9700;Ship to 88-B;Rua do Mercado, 5678;Resende;SP;10354;Brazil
10257;35;4;2020-07-16;2020-08-13;2020-07-22;3;81.9100;Destination JYDLM;Carrera1234 con Ave. Carlos Soublette #8-35;San Crist¢bal;T†chira;10199;Venezuela
10258;20;1;2020-07-17;2020-08-14;2020-07-23;1;140.5100;Destination RVDMF;Kirchgasse 9012;Graz;;10157;Austria
10259;13;4;2020-07-18;2020-08-15;2020-07-25;3;3.2500;Destination LGGCH;Sierras de Granada 9012;MÇxico D.F.;;10137;Mexico
10260;56;4;2020-07-19;2020-08-16;2020-07-29;1;55.0900;Ship to 56-A;Mehrheimerstr. 0123;Kîln;;10258;Germany
10261;61;4;2020-07-19;2020-08-16;2020-07-30;2;3.0500;Ship to 61-B;Rua da Panificadora, 6789;Rio de Janeiro;RJ;10274;Brazil
10262;65;8;2020-07-22;2020-08-19;2020-07-25;3;48.2900;Ship to 65-B;8901 Milton Dr.;Albuquerque;NM;10286;USA
10263;20;9;2020-07-23;2020-08-20;2020-07-31;3;146.0600;Destination FFXKT;Kirchgasse 0123;Graz;;10158;Austria
10264;24;6;2020-07-24;2020-08-21;2020-08-23;3;3.6700;Destination KBSBN;èkergatan 9012;BrÑcke;;10167;Sweden
10265;7;2;2020-07-25;2020-08-22;2020-08-12;1;55.2800;Ship to 7-A;0123, place KlÇber;Strasbourg;;10329;France
10266;87;3;2020-07-26;2020-09-06;2020-07-31;3;25.7300;Ship to 87-B;Torikatu 2345;Oulu;;10351;Finland
10267;25;4;2020-07-29;2020-08-26;2020-08-06;1;208.5800;Destination VAPXU;Berliner Platz 0123;MÅnchen;;10168;Germany
10268;33;8;2020-07-30;2020-08-27;2020-08-02;3;66.2900;Destination QJVQH;5¶ Ave. Los Palos Grandes 5678;Caracas;DF;10193;Venezuela
10269;89;5;2020-07-31;2020-08-14;2020-08-09;1;4.5600;Ship to 89-B;8901 - 12th Ave. S.;Seattle;WA;10357;USA
10270;87;1;2020-08-01;2020-08-29;2020-08-02;1;136.5400;Ship to 87-B;Torikatu 2345;Oulu;;10351;Finland
10271;75;6;2020-08-01;2020-08-29;2020-08-30;2;4.5400;Ship to 75-C;P.O. Box 7890;Lander;WY;10316;USA
10272;65;6;2020-08-02;2020-08-30;2020-08-06;2;98.0300;Ship to 65-A;7890 Milton Dr.;Albuquerque;NM;10285;USA
10273;63;3;2020-08-05;2020-09-02;2020-08-12;3;76.0700;Ship to 63-A;Taucherstra·e 1234;Cunewalde;;10279;Germany
10274;85;6;2020-08-06;2020-09-03;2020-08-16;1;6.0100;Ship to 85-B;6789 rue de l'Abbaye;Reims;;10345;France
10275;49;1;2020-08-07;2020-09-04;2020-08-09;1;26.9300;Ship to 49-A;Via Ludovico il Moro 8901;Bergamo;;10235;Italy
10276;80;8;2020-08-08;2020-08-22;2020-08-14;3;13.8400;Ship to 80-C;Avda. Azteca 5678;MÇxico D.F.;;10334;Mexico
10277;52;2;2020-08-09;2020-09-06;2020-08-13;3;125.7700;Ship to 52-A;Heerstr. 9012;Leipzig;;10247;Germany
10278;5;8;2020-08-12;2020-09-09;2020-08-16;2;92.6900;Ship to 5-C;BerguvsvÑgen  1234;LuleÜ;;10269;Sweden
10279;44;8;2020-08-13;2020-09-10;2020-08-16;2;25.8300;Ship to 44-A;Magazinweg 4567;Frankfurt a.M.;;10222;Germany
10280;5;2;2020-08-14;2020-09-11;2020-09-12;1;8.9800;Ship to 5-B;BerguvsvÑgen  0123;LuleÜ;;10268;Sweden
10281;69;4;2020-08-14;2020-08-28;2020-08-21;1;2.9400;Ship to 69-A;Gran V°a, 9012;Madrid;;10297;Spain
10282;69;4;2020-08-15;2020-09-12;2020-08-21;1;12.6900;Ship to 69-B;Gran V°a, 0123;Madrid;;10298;Spain
10283;46;3;2020-08-16;2020-09-13;2020-08-23;3;84.8100;Ship to 46-A;Carrera 0123 con Ave. Bol°var #65-98 Llano Largo;Barquisimeto;Lara;10227;Venezuela
10284;44;4;2020-08-19;2020-09-16;2020-08-27;1;76.5600;Ship to 44-A;Magazinweg 4567;Frankfurt a.M.;;10222;Germany
10285;63;1;2020-08-20;2020-09-17;2020-08-26;2;76.8300;Ship to 63-B;Taucherstra·e 2345;Cunewalde;;10280;Germany
10286;63;8;2020-08-21;2020-09-18;2020-08-30;3;229.2400;Ship to 63-B;Taucherstra·e 2345;Cunewalde;;10280;Germany
10287;67;8;2020-08-22;2020-09-19;2020-08-28;3;12.7600;Ship to 67-A;Av. Copacabana, 3456;Rio de Janeiro;RJ;10291;Brazil
10288;66;4;2020-08-23;2020-09-20;2020-09-03;1;7.4500;Ship to 66-C;Strada Provinciale 2345;Reggio Emilia;;10290;Italy
10289;11;7;2020-08-26;2020-09-23;2020-08-28;3;22.7700;Destination DLEUN;Fauntleroy Circus 4567;London;;10132;UK
10290;15;8;2020-08-27;2020-09-24;2020-09-03;1;79.7000;Destination HQZHO;Av. dos Lus°adas, 4567;Sao Paulo;SP;10142;Brazil
10291;61;6;2020-08-27;2020-09-24;2020-09-04;2;6.4000;Ship to 61-A;Rua da Panificadora, 5678;Rio de Janeiro;RJ;10273;Brazil
10292;81;1;2020-08-28;2020-09-25;2020-09-02;2;1.3500;Ship to 81-A;Av. Inàs de Castro, 6789;Sao Paulo;SP;10335;Brazil
10293;80;1;2020-08-29;2020-09-26;2020-09-11;3;21.1800;Ship to 80-B;Avda. Azteca 4567;MÇxico D.F.;;10333;Mexico
10294;65;4;2020-08-30;2020-09-27;2020-09-05;2;147.2600;Ship to 65-A;7890 Milton Dr.;Albuquerque;NM;10285;USA
10295;85;2;2020-09-02;2020-09-30;2020-09-10;2;1.1500;Ship to 85-C;7890 rue de l'Abbaye;Reims;;10346;France
10296;46;6;2020-09-03;2020-10-01;2020-09-11;1;.1200;Ship to 46-C;Carrera 2345 con Ave. Bol°var #65-98 Llano Largo;Barquisimeto;Lara;10229;Venezuela
10297;7;5;2020-09-04;2020-10-16;2020-09-10;2;5.7400;Ship to 7-C;2345, place KlÇber;Strasbourg;;10331;France
10298;37;6;2020-09-05;2020-10-03;2020-09-11;2;168.2200;Destination ATSOA;4567 Johnstown Road;Cork;Co. Cork;10202;Ireland
10299;67;4;2020-09-06;2020-10-04;2020-09-13;2;29.7600;Ship to 67-A;Av. Copacabana, 3456;Rio de Janeiro;RJ;10291;Brazil
10300;49;2;2020-09-09;2020-10-07;2020-09-18;2;17.6800;Ship to 49-A;Via Ludovico il Moro 8901;Bergamo;;10235;Italy
10301;86;8;2020-09-09;2020-10-07;2020-09-17;2;45.0800;Ship to 86-A;Adenauerallee 8901;Stuttgart;;10347;Germany
10302;76;4;2020-09-10;2020-10-08;2020-10-09;2;6.2700;Ship to 76-B;Boulevard Tirou, 9012;Charleroi;;10318;Belgium
10303;30;7;2020-09-11;2020-10-09;2020-09-18;2;107.8300;Destination IIYDD;C/ Romero, 5678;Sevilla;;10183;Spain
10304;80;1;2020-09-12;2020-10-10;2020-09-17;2;63.7900;Ship to 80-C;Avda. Azteca 5678;MÇxico D.F.;;10334;Mexico
10305;55;8;2020-09-13;2020-10-11;2020-10-09;3;257.6200;Ship to 55-B;8901 Bering St.;Anchorage;AK;10256;USA
10306;69;1;2020-09-16;2020-10-14;2020-09-23;3;7.5600;Ship to 69-B;Gran V°a, 0123;Madrid;;10298;Spain
10307;48;2;2020-09-17;2020-10-15;2020-09-25;2;.5600;Ship to 48-B;6789 Chiaroscuro Rd.;Portland;OR;10233;USA
10308;2;7;2020-09-18;2020-10-16;2020-09-24;3;1.6100;Destination QMVCI;Avda. de la Constituci¢n 2345;MÇxico D.F.;;10180;Mexico
10309;37;3;2020-09-19;2020-10-17;2020-10-23;1;47.3000;Destination ATSOA;4567 Johnstown Road;Cork;Co. Cork;10202;Ireland
10310;77;8;2020-09-20;2020-10-18;2020-09-27;2;17.5200;Ship to 77-B;2345 Jefferson Way Suite 2;Portland;OR;10321;USA
